team,year,mean,std
Alfa Romeo,2019,2.7143,4.9411
Alfa Romeo,2020,0.4706,0.9432
Alfa Romeo,2021,0.5909,1.2212
AlphaTauri,2020,6.2941,6.3518
AlphaTauri,2021,6.4545,6.8642
Alpine F1 Team,2021,7.0455,8.6931
Aston Martin,2021,3.5,4.8378
Caterham,2012,0.0,0.0
Caterham,2013,0.0,0.0
Caterham,2014,0.0,0.0
Ferrari,2010,20.8421,13.7569
Ferrari,2011,19.7368,6.8786
Ferrari,2012,20.0,8.5039
Ferrari,2013,18.6316,10.0012
Ferrari,2014,11.3684,6.4309
Ferrari,2015,22.5263,9.7089
Ferrari,2016,18.9524,6.91
Ferrari,2017,26.1,11.7379
Ferrari,2018,27.1905,7.8589
Ferrari,2019,24.0,9.1924
Ferrari,2020,7.7059,7.8084
Ferrari,2021,14.7045,5.9375
Force India,2010,3.5789,3.7315
Force India,2011,3.6316,3.947
Force India,2012,5.45,4.9255
Force India,2013,4.0526,4.4904
Force India,2014,8.1579,7.3277
Force India,2015,7.1579,4.9918
Force India,2016,8.2381,7.0633
Force India,2017,9.35,5.6408
Force India,2018,5.2857,5.8407
HRT,2010,0.0,0.0
HRT,2011,0.0,0.0
HRT,2012,0.0,0.0
Haas F1 Team,2016,1.381,2.9745
Haas F1 Team,2017,2.35,2.7198
Haas F1 Team,2018,4.4286,5.455
Haas F1 Team,2019,1.3333,3.0056
Haas F1 Team,2020,0.1765,0.5286
Haas F1 Team,2021,0.0,0.0
Lotus,2010,0.0,0.0
Lotus,2011,0.0,0.0
Lotus F1,2012,15.15,9.1897
Lotus F1,2013,16.5789,11.0871
Lotus F1,2014,0.5263,1.3068
Lotus F1,2015,4.1053,4.0537
Manor Marussia,2015,0.0,0.0
Manor Marussia,2016,0.0476,0.2182
Marussia,2012,0.0,0.0
Marussia,2013,0.0,0.0
Marussia,2014,0.125,0.5
Marussia,2015,0.0,0.0
McLaren,2010,23.8947,11.8692
McLaren,2011,26.1579,7.974
McLaren,2012,18.9,11.5572
McLaren,2013,6.4211,5.0587
McLaren,2014,9.5263,8.8967
McLaren,2015,1.4211,3.2543
McLaren,2016,3.619,4.2009
McLaren,2017,1.5,2.6458
McLaren,2018,2.9524,3.7212
McLaren,2019,6.9048,5.3
McLaren,2020,11.8824,8.2907
McLaren,2021,12.5,10.3268
Mercedes,2010,11.2632,5.5662
Mercedes,2011,8.6842,5.5783
Mercedes,2012,7.1,7.7656
Mercedes,2013,18.9474,9.472
Mercedes,2014,36.8947,10.0769
Mercedes,2015,37.0,10.5515
Mercedes,2016,36.4286,10.6281
Mercedes,2017,33.4,7.4509
Mercedes,2018,31.1905,9.968
Mercedes,2019,35.1905,12.2214
Mercedes,2020,33.7059,10.9074
Mercedes,2021,27.8864,12.6
Racing Point,2019,3.4762,3.7499
Racing Point,2020,12.3529,9.8103
Red Bull,2010,26.2105,13.7944
Red Bull,2011,34.2105,7.7787
Red Bull,2012,23.0,11.9164
Red Bull,2013,31.3684,9.3998
Red Bull,2014,21.3158,10.7085
Red Bull,2015,9.8421,9.3527
Red Bull,2016,22.2857,9.6496
Red Bull,2017,18.4,8.4816
Red Bull,2018,19.9524,9.7287
Red Bull,2019,19.8571,6.2152
Red Bull,2020,18.7647,11.8613
Red Bull,2021,26.6136,11.2567
Renault,2010,8.5789,6.1673
Renault,2011,3.8421,4.9246
Renault,2016,0.381,1.322
Renault,2017,2.85,3.4834
Renault,2018,5.8095,4.0941
Renault,2019,4.3333,5.6421
Renault,2020,10.6471,8.0073
Sauber,2010,2.3158,3.4649
Sauber,2011,2.3158,2.8295
Sauber,2012,6.3,7.821
Sauber,2013,3.0,4.5461
Sauber,2014,0.0,0.0
Sauber,2015,1.8947,3.5885
Sauber,2016,0.0952,0.4364
Sauber,2017,0.25,0.9105
Sauber,2018,2.2857,2.7594
Toro Rosso,2010,0.6842,1.1082
Toro Rosso,2011,2.1579,2.6721
Toro Rosso,2012,1.3,2.0545
Toro Rosso,2013,1.7368,2.5351
Toro Rosso,2014,1.5789,2.2685
Toro Rosso,2015,3.5263,4.869
Toro Rosso,2016,3.0,3.2404
Toro Rosso,2017,2.65,3.6889
Toro Rosso,2018,1.5714,3.187
Toro Rosso,2019,4.0476,6.3204
Virgin,2010,0.0,0.0
Virgin,2011,0.0,0.0
Williams,2010,3.6316,4.1927
Williams,2011,0.2632,0.6534
Williams,2012,3.8,6.3462
Williams,2013,0.2632,0.9335
Williams,2014,16.8421,13.463
Williams,2015,13.5263,8.6305
Williams,2016,6.5714,5.9797
Williams,2017,4.15,4.0036
Williams,2018,0.3333,1.0646
Williams,2019,0.0476,0.2182
Williams,2020,0.0,0.0
Williams,2021,1.0455,2.9355
